,State,Incidence Rate,Average Annual Count_x,Death Rate,Average Annual Count_y,Cancer Death_per_hundred_cancer_patient
0,Kentucky,521.0,26945.0,198.0,10206.0,38.0
1,Delaware,498.0,5803.0,170.0,1989.0,34.0
2,Pennsylvania,487.0,79060.0,169.0,28658.0,36.0
3,New Hampshire,484.0,8129.0,162.0,2718.0,33.0
4,New Jersey,483.0,50921.0,154.0,16407.0,32.0
5,New York,483.0,111527.0,151.0,35491.0,32.0
6,Louisiana,481.0,24888.0,183.0,9346.0,38.0
7,Rhode Island,478.0,6163.0,165.0,2223.0,36.0
8,West Virginia,476.0,11653.0,189.0,4756.0,41.0
9,Maine,476.0,8700.0,174.0,3267.0,38.0
10,Iowa,475.0,17806.0,166.0,6479.0,36.0
11,Connecticut,472.0,20843.0,146.0,6657.0,32.0
12,Mississippi,469.0,15923.0,194.0,6522.0,41.0
13,Arkansas,468.0,16551.0,185.0,6623.0,40.0
14,Wisconsin,467.0,32160.0,163.0,11398.0,35.0
15,Georgia,466.0,49003.0,166.0,16650.0,34.0
16,Illinois,466.0,67683.0,168.0,24531.0,36.0
17,North Carolina,466.0,53636.0,167.0,19036.0,35.0
18,Kansas,464.0,15171.0,164.0,5497.0,36.0
19,Minnesota,464.0,28996.0,153.0,9691.0,33.0
20,Tennessee,463.0,35692.0,184.0,14111.0,40.0
21,Ohio,462.0,64858.0,177.0,25317.0,39.0
22,South Carolina,457.0,26730.0,172.0,9942.0,37.0
23,Indiana,457.0,34242.0,178.0,13416.0,39.0
24,South Dakota,456.0,4514.0,160.0,1648.0,37.0
25,Missouri,455.0,32947.0,176.0,12920.0,39.0
26,Montana,454.0,5901.0,155.0,2036.0,35.0
27,North Dakota,454.0,3725.0,150.0,1283.0,34.0
28,Oklahoma,453.0,19837.0,184.0,8082.0,41.0
29,Vermont,453.0,3678.0,165.0,1355.0,37.0
30,Alabama,452.0,26110.0,179.0,10332.0,40.0
31,Florida,452.0,121916.0,153.0,43285.0,36.0
32,Nebraska,452.0,9630.0,159.0,3478.0,36.0
33,Washington,451.0,35813.0,157.0,12273.0,34.0
34,Maryland,450.0,30444.0,160.0,10674.0,35.0
35,Michigan,450.0,54047.0,170.0,20727.0,38.0
36,Massachusetts,450.0,36149.0,156.0,12795.0,35.0
37,Idaho,440.0,7924.0,155.0,2761.0,35.0
38,District of Columbia,433.0,2818.0,169.0,1082.0,38.0
39,Oregon,430.0,20790.0,163.0,7933.0,38.0
40,Virginia,419.0,39078.0,161.0,14686.0,38.0
42,Alaska,413.0,2784.0,165.0,977.0,35.0
43,Texas,408.0,107094.0,154.0,38943.0,36.0
44,California,405.0,165242.0,145.0,58588.0,35.0
45,Utah,403.0,10143.0,127.0,3021.0,30.0
46,Colorado,401.0,22701.0,139.0,7520.0,33.0
47,Wyoming,397.0,2638.0,145.0,943.0,36.0
48,Nevada,393.0,12409.0,162.0,4934.0,40.0
49,Arizona,387.0,30448.0,144.0,11508.0,38.0
50,New Mexico,374.0,9116.0,144.0,3514.0,39.0
